,name,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,date
61,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.554,0.509,2,-9.403,1,0.0455,0.572,2.08e-06,0.113,0.401,85.079,audio_features,spotify:track:0TyGh27YQ5LknmiDhCzJiT,https://api.spotify.com/v1/tracks/0TyGh27YQ5LknmiDhCzJiT,https://api.spotify.com/v1/audio-analysis/0TyGh27YQ5LknmiDhCzJiT,267389,4,2023-10-27
62,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.653,0.848,5,-5.936,1,0.0583,0.00516,4.24e-06,0.0798,0.724,122.017,audio_features,spotify:track:5M787RexsAiVYjQusM98CV,https://api.spotify.com/v1/tracks/5M787RexsAiVYjQusM98CV,https://api.spotify.com/v1/audio-analysis/5M787RexsAiVYjQusM98CV,230178,4,2023-10-27
63,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],0.621,0.415,2,-13.187,1,0.0543,0.33,0.000112,0.0634,0.313,77.978,audio_features,spotify:track:0CD7DzeCsuPJygddqlUVYa,https://api.spotify.com/v1/tracks/0CD7DzeCsuPJygddqlUVYa,https://api.spotify.com/v1/audio-analysis/0CD7DzeCsuPJygddqlUVYa,180381,4,2023-10-27
64,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],0.632,0.539,4,-8.375,1,0.0342,0.0684,5.82e-06,0.132,0.186,109.962,audio_features,spotify:track:3CCRVu4F91Qp2mnGjmWBrf,https://api.spotify.com/v1/tracks/3CCRVu4F91Qp2mnGjmWBrf,https://api.spotify.com/v1/audio-analysis/3CCRVu4F91Qp2mnGjmWBrf,279833,4,2023-10-27
65,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],0.8,0.509,0,-9.386,1,0.034,0.16,3.05e-05,0.0834,0.0768,109.994,audio_features,spotify:track:5QUIK7ZtziW8kGWo8RqopF,https://api.spotify.com/v1/tracks/5QUIK7ZtziW8kGWo8RqopF,https://api.spotify.com/v1/audio-analysis/5QUIK7ZtziW8kGWo8RqopF,146437,4,2023-10-27
66,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],0.695,0.607,0,-8.84,1,0.0357,0.212,0.0,0.102,0.394,118.043,audio_features,spotify:track:6M9ppdfFjR1AbpUl3Y8DcV,https://api.spotify.com/v1/tracks/6M9ppdfFjR1AbpUl3Y8DcV,https://api.spotify.com/v1/audio-analysis/6M9ppdfFjR1AbpUl3Y8DcV,171819,4,2023-10-27
67,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],0.599,0.651,0,-7.343,1,0.035,0.0486,0.0,0.126,0.153,100.001,audio_features,spotify:track:6IG3sQ8s9nfk6TUlVzRhbN,https://api.spotify.com/v1/tracks/6IG3sQ8s9nfk6TUlVzRhbN,https://api.spotify.com/v1/audio-analysis/6IG3sQ8s9nfk6TUlVzRhbN,229478,4,2023-10-27
68,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.604,0.644,2,-6.931,1,0.0889,0.0143,0.0,0.237,0.197,170.088,audio_features,spotify:track:6qAcApH8obo8eqatCKUHd9,https://api.spotify.com/v1/tracks/6qAcApH8obo8eqatCKUHd9,https://api.spotify.com/v1/audio-analysis/6qAcApH8obo8eqatCKUHd9,199773,4,2023-10-27
69,Welcome To New York (Taylor's Version),1989 (Taylor's Version),0.76,0.602,7,-4.871,1,0.0316,0.00661,0.000133,0.325,0.685,116.989,audio_features,spotify:track:1hR8BSuEqPCCZfv93zzzz9,https://api.spotify.com/v1/tracks/1hR8BSuEqPCCZfv93zzzz9,https://api.spotify.com/v1/audio-analysis/1hR8BSuEqPCCZfv93zzzz9,212600,4,2023-10-26
70,Blank Space (Taylor's Version),1989 (Taylor's Version),0.732,0.719,0,-5.469,1,0.0645,0.0901,0.0,0.331,0.71,96.035,audio_features,spotify:track:45wMBGri1PORPjM9PwFfrS,https://api.spotify.com/v1/tracks/45wMBGri1PORPjM9PwFfrS,https://api.spotify.com/v1/audio-analysis/45wMBGri1PORPjM9PwFfrS,231833,4,2023-10-26
71,Style (Taylor's Version),1989 (Taylor's Version),0.514,0.821,7,-4.803,1,0.0444,0.000456,0.0232,0.0946,0.298,94.884,audio_features,spotify:track:1hjRhYpWyqDpPahmSlUTlc,https://api.spotify.com/v1/tracks/1hjRhYpWyqDpPahmSlUTlc,https://api.spotify.com/v1/audio-analysis/1hjRhYpWyqDpPahmSlUTlc,231000,4,2023-10-26
72,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),0.544,0.884,7,-5.973,1,0.0383,0.000466,0.000134,0.381,0.184,91.981,audio_features,spotify:track:045ZeOHPIzhxxsm8bq5kyE,https://api.spotify.com/v1/tracks/045ZeOHPIzhxxsm8bq5kyE,https://api.spotify.com/v1/audio-analysis/045ZeOHPIzhxxsm8bq5kyE,235800,4,2023-10-26
73,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),0.589,0.713,0,-5.614,1,0.0308,0.000778,0.0,0.188,0.54,97.069,audio_features,spotify:track:6GXgd1BPD9bUpqw5AntGV5,https://api.spotify.com/v1/tracks/6GXgd1BPD9bUpqw5AntGV5,https://api.spotify.com/v1/audio-analysis/6GXgd1BPD9bUpqw5AntGV5,193289,4,2023-10-26
74,Shake It Off (Taylor's Version),1989 (Taylor's Version),0.632,0.805,7,-5.707,1,0.069,0.0112,2.51e-05,0.156,0.903,160.052,audio_features,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/tracks/3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/audio-analysis/3pv7Q5v2dpdefwdWIvE7yH,219209,4,2023-10-26
75,I Wish You Would (Taylor's Version),1989 (Taylor's Version),0.671,0.853,0,-6.568,1,0.0417,0.00388,9.48e-06,0.0812,0.523,118.032,audio_features,spotify:track:43y1WpBdnEy5TR9aZoSQL9,https://api.spotify.com/v1/tracks/43y1WpBdnEy5TR9aZoSQL9,https://api.spotify.com/v1/audio-analysis/43y1WpBdnEy5TR9aZoSQL9,207650,4,2023-10-26
76,Bad Blood (Taylor's Version),1989 (Taylor's Version),0.624,0.711,7,-6.347,1,0.159,0.0369,3.13e-06,0.19,0.347,169.999,audio_features,spotify:track:64FzgoLZ3oXu2SriZblHic,https://api.spotify.com/v1/tracks/64FzgoLZ3oXu2SriZblHic,https://api.spotify.com/v1/audio-analysis/64FzgoLZ3oXu2SriZblHic,211104,4,2023-10-26
77,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),0.587,0.663,8,-7.439,1,0.0598,0.0348,9.95e-05,0.0971,0.539,139.993,audio_features,spotify:track:1K39ty6o1sHwwlZwO6a7wK,https://api.spotify.com/v1/tracks/1K39ty6o1sHwwlZwO6a7wK,https://api.spotify.com/v1/audio-analysis/1K39ty6o1sHwwlZwO6a7wK,220433,4,2023-10-26
78,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),0.761,0.67,5,-5.956,1,0.0537,0.00198,1.08e-05,0.0873,0.519,120.014,audio_features,spotify:track:75W3SngKzTuoQ94uLf3y82,https://api.spotify.com/v1/tracks/75W3SngKzTuoQ94uLf3y82,https://api.spotify.com/v1/audio-analysis/75W3SngKzTuoQ94uLf3y82,247533,4,2023-10-26
79,This Love (Taylor’s Version),1989 (Taylor's Version),0.47,0.494,4,-8.672,1,0.0349,0.302,0.0,0.0672,0.0524,144.039,audio_features,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,https://api.spotify.com/v1/tracks/5QVVjX0ZItqlVpEuVCM9Yg,https://api.spotify.com/v1/audio-analysis/5QVVjX0ZItqlVpEuVCM9Yg,250100,4,2023-10-26
80,I Know Places (Taylor's Version),1989 (Taylor's Version),0.572,0.807,0,-5.348,1,0.0574,0.0846,0.0,0.071,0.626,160.015,audio_features,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,https://api.spotify.com/v1/tracks/2f0GI2ZLUtbGqFx8t2Gk6A,https://api.spotify.com/v1/audio-analysis/2f0GI2ZLUtbGqFx8t2Gk6A,195700,4,2023-10-26
81,Clean (Taylor's Version),1989 (Taylor's Version),0.782,0.379,4,-8.964,1,0.0303,0.297,2.98e-05,0.103,0.267,103.99,audio_features,spotify:track:2ByBBvpR9b7IynvRmnG7kG,https://api.spotify.com/v1/tracks/2ByBBvpR9b7IynvRmnG7kG,https://api.spotify.com/v1/audio-analysis/2ByBBvpR9b7IynvRmnG7kG,271000,4,2023-10-26
82,Wonderland (Taylor's Version),1989 (Taylor's Version),0.387,0.703,3,-5.956,1,0.0545,0.0105,1.1e-05,0.128,0.32,123.18,audio_features,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,https://api.spotify.com/v1/tracks/2ve0kuaWUCt4Zx8x4bf1MR,https://api.spotify.com/v1/audio-analysis/2ve0kuaWUCt4Zx8x4bf1MR,245567,5,2023-10-26
83,You Are In Love (Taylor's Version),1989 (Taylor's Version),0.554,0.509,2,-9.403,1,0.0455,0.572,2.08e-06,0.113,0.401,85.079,audio_features,spotify:track:4UwqOWDpdeIDVQDuKT6iza,https://api.spotify.com/v1/tracks/4UwqOWDpdeIDVQDuKT6iza,https://api.spotify.com/v1/audio-analysis/4UwqOWDpdeIDVQDuKT6iza,267389,4,2023-10-26
84,New Romantics (Taylor's Version),1989 (Taylor's Version),0.653,0.848,5,-5.936,1,0.0583,0.00516,4.24e-06,0.0798,0.724,122.017,audio_features,spotify:track:2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/tracks/2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/audio-analysis/2vPMoMDXxu9uX1igWZmXSG,230178,4,2023-10-26
85,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),0.621,0.415,2,-13.187,1,0.0543,0.33,0.000112,0.0634,0.313,77.978,audio_features,spotify:track:71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/tracks/71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/audio-analysis/71BqAINEnezjQfxE4VuJfq,180381,4,2023-10-26
86,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),0.632,0.539,4,-8.375,1,0.0342,0.0684,5.82e-06,0.132,0.186,109.962,audio_features,spotify:track:4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/tracks/4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/audio-analysis/4NioO5R9sHEZh4cGzMHyNt,279833,4,2023-10-26
87,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),0.8,0.509,0,-9.386,1,0.034,0.16,3.05e-05,0.0834,0.0768,109.994,audio_features,spotify:track:5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/tracks/5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/audio-analysis/5KD6AEm19QnMbfWpfoOHMl,146437,4,2023-10-26
88,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),0.695,0.607,0,-8.84,1,0.0357,0.212,0.0,0.102,0.394,118.043,audio_features,spotify:track:6T0sEnqjmHISIKwFETeeiP,https://api.spotify.com/v1/tracks/6T0sEnqjmHISIKwFETeeiP,https://api.spotify.com/v1/audio-analysis/6T0sEnqjmHISIKwFETeeiP,171819,4,2023-10-26
89,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),0.599,0.651,0,-7.343,1,0.035,0.0486,0.0,0.126,0.153,100.001,audio_features,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478,4,2023-10-26
90,Mine (Taylor's Version),Speak Now (Taylor's Version),0.647,0.793,7,-2.903,1,0.0363,0.00314,1.93e-06,0.174,0.5,121.101,audio_features,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/tracks/7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/audio-analysis/7G0gBu6nLdhFDPRLc0HdDG,231707,4,2023-07-07
91,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),0.605,0.769,5,-2.413,1,0.032,0.0241,0.0,0.0936,0.366,114.921,audio_features,spotify:track:3MytWN8L7shNYzGl4tAKRp,https://api.spotify.com/v1/tracks/3MytWN8L7shNYzGl4tAKRp,https://api.spotify.com/v1/audio-analysis/3MytWN8L7shNYzGl4tAKRp,261231,4,2023-07-07
92,Back To December (Taylor's Version),Speak Now (Taylor's Version),0.486,0.635,2,-3.994,1,0.0278,0.00705,0.0,0.119,0.235,141.868,audio_features,spotify:track:79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/tracks/79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/audio-analysis/79uDOz0zuuWS7HWxzMmTa2,294190,4,2023-07-07
93,Speak Now (Taylor's Version),Speak Now (Taylor's Version),0.734,0.686,7,-2.926,1,0.0349,0.225,0.0,0.136,0.598,119.002,audio_features,spotify:track:5xXqyjLicvEpch72qEryFT,https://api.spotify.com/v1/tracks/5xXqyjLicvEpch72qEryFT,https://api.spotify.com/v1/audio-analysis/5xXqyjLicvEpch72qEryFT,242473,4,2023-07-07
94,Dear John (Taylor's Version),Speak Now (Taylor's Version),0.379,0.468,4,-5.07,1,0.0298,0.0327,0.0,0.158,0.115,119.447,audio_features,spotify:track:1zU8j1x3yi9xalMF96pzKp,https://api.spotify.com/v1/tracks/1zU8j1x3yi9xalMF96pzKp,https://api.spotify.com/v1/audio-analysis/1zU8j1x3yi9xalMF96pzKp,405907,3,2023-07-07
95,Mean (Taylor's Version),Speak Now (Taylor's Version),0.526,0.7,4,-3.95,1,0.0392,0.321,0.0,0.213,0.596,163.949,audio_features,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,https://api.spotify.com/v1/tracks/30Y4CV7A6YqtQtTTo7Ue4j,https://api.spotify.com/v1/audio-analysis/30Y4CV7A6YqtQtTTo7Ue4j,238693,4,2023-07-07
96,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),0.516,0.784,4,-2.636,1,0.0563,0.00136,0.0,0.0499,0.552,139.787,audio_features,spotify:track:6dTA6y0C2ReQklntzZl8l3,https://api.spotify.com/v1/tracks/6dTA6y0C2ReQklntzZl8l3,https://api.spotify.com/v1/audio-analysis/6dTA6y0C2ReQklntzZl8l3,267653,4,2023-07-07
97,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),0.684,0.339,2,-7.259,1,0.029,0.867,0.0,0.194,0.572,125.054,audio_features,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,https://api.spotify.com/v1/tracks/2EFZ9emtKWEglWUQGEQ3P9,https://api.spotify.com/v1/audio-analysis/2EFZ9emtKWEglWUQGEQ3P9,292920,4,2023-07-07
98,Enchanted (Taylor's Version),Speak Now (Taylor's Version),0.52,0.553,8,-3.546,1,0.0269,0.016,0.0,0.165,0.227,81.949,audio_features,spotify:track:3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/tracks/3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/audio-analysis/3sW3oSbzsfecv9XoUdGs7h,353253,4,2023-07-07
99,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),0.505,0.893,11,-3.013,0,0.0771,0.000795,0.0,0.178,0.659,145.913,audio_features,spotify:track:0NwGC0v03ysCYINtg6ns58,https://api.spotify.com/v1/tracks/0NwGC0v03ysCYINtg6ns58,https://api.spotify.com/v1/audio-analysis/0NwGC0v03ysCYINtg6ns58,220307,4,2023-07-07
100,Innocent (Taylor's Version),Speak Now (Taylor's Version),0.524,0.611,1,-5.298,0,0.0297,0.0972,0.0,0.127,0.126,133.583,audio_features,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,https://api.spotify.com/v1/tracks/12nBPF4Rh4XLFJV0YLN7uj,https://api.spotify.com/v1/audio-analysis/12nBPF4Rh4XLFJV0YLN7uj,301222,4,2023-07-07
101,Haunted (Taylor's Version),Speak Now (Taylor's Version),0.44,0.916,5,-1.927,1,0.0629,0.00552,0.0,0.252,0.371,162.025,audio_features,spotify:track:4tMzIAFTFdqGBQLdfbPces,https://api.spotify.com/v1/tracks/4tMzIAFTFdqGBQLdfbPces,https://api.spotify.com/v1/audio-analysis/4tMzIAFTFdqGBQLdfbPces,245413,4,2023-07-07
102,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),0.557,0.362,10,-8.641,1,0.0263,0.443,3.57e-06,0.1,0.187,79.573,audio_features,spotify:track:59KOoHFcw5XfICnO57holu,https://api.spotify.com/v1/tracks/59KOoHFcw5XfICnO57holu,https://api.spotify.com/v1/audio-analysis/59KOoHFcw5XfICnO57holu,369120,3,2023-07-07
103,Long Live (Taylor's Version),Speak Now (Taylor's Version),0.38,0.628,0,-4.054,1,0.038,0.0162,0.0,0.227,0.0984,203.826,audio_features,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,https://api.spotify.com/v1/tracks/4hqJ4bSlYJOXb6Z4SRmzxs,https://api.spotify.com/v1/audio-analysis/4hqJ4bSlYJOXb6Z4SRmzxs,317960,4,2023-07-07
104,Ours (Taylor’s Version),Speak Now (Taylor's Version),0.539,0.475,0,-8.411,1,0.0287,0.42,0.0,0.109,0.293,159.824,audio_features,spotify:track:3yNJkriPzWjkkDAWHIAVUq,https://api.spotify.com/v1/tracks/3yNJkriPzWjkkDAWHIAVUq,https://api.spotify.com/v1/audio-analysis/3yNJkriPzWjkkDAWHIAVUq,235803,4,2023-07-07
105,Superman (Taylor’s Version),Speak Now (Taylor's Version),0.537,0.733,7,-3.506,1,0.0302,0.00207,0.0,0.11,0.347,131.898,audio_features,spotify:track:4evLyY5Ue1Wesc61t2KXAU,https://api.spotify.com/v1/tracks/4evLyY5Ue1Wesc61t2KXAU,https://api.spotify.com/v1/audio-analysis/4evLyY5Ue1Wesc61t2KXAU,274945,4,2023-07-07
106,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.547,0.854,7,-4.753,1,0.0526,0.018,0.0,0.156,0.26,131.068,audio_features,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/tracks/4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/audio-analysis/4e3ZNTAV6PCrdYMUrUlMpQ,266467,4,2023-07-07
107,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.524,0.759,2,-4.714,1,0.0471,0.168,0.0,0.104,0.234,77.879,audio_features,spotify:track:0zo975x58DlXbZllWvfYhg,https://api.spotify.com/v1/tracks/0zo975x58DlXbZllWvfYhg,https://api.spotify.com/v1/audio-analysis/0zo975x58DlXbZllWvfYhg,252386,4,2023-07-07
108,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.695,0.768,6,-4.883,1,0.0344,0.0577,0.0,0.0426,0.813,123.054,audio_features,spotify:track:5kHMfzgLZP95O9NBy0ku4v,https://api.spotify.com/v1/tracks/5kHMfzgLZP95O9NBy0ku4v,https://api.spotify.com/v1/audio-analysis/5kHMfzgLZP95O9NBy0ku4v,273186,4,2023-07-07
109,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.578,0.565,7,-8.064,1,0.0441,0.342,0.0,0.0662,0.351,147.781,audio_features,spotify:track:4ABYxlb92WBIjHu7TIKmml,https://api.spotify.com/v1/tracks/4ABYxlb92WBIjHu7TIKmml,https://api.spotify.com/v1/audio-analysis/4ABYxlb92WBIjHu7TIKmml,306062,4,2023-07-07
110,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.672,0.613,7,-4.709,1,0.0298,0.599,0.0,0.112,0.557,97.041,audio_features,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,https://api.spotify.com/v1/tracks/4s8BIKx4Zh6ryAEz8RTlaU,https://api.spotify.com/v1/audio-analysis/4s8BIKx4Zh6ryAEz8RTlaU,311765,4,2023-07-07
111,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),0.629,0.578,3,-5.806,1,0.0319,0.332,0.0,0.0868,0.651,142.887,audio_features,spotify:track:1HCdems7PQZRj42QDWLA0A,https://api.spotify.com/v1/tracks/1HCdems7PQZRj42QDWLA0A,https://api.spotify.com/v1/audio-analysis/1HCdems7PQZRj42QDWLA0A,321397,4,2023-07-07
112,Lavender Haze,Midnights (The Til Dawn Edition),0.735,0.449,7,-10.56,0,0.0883,0.23,0.00126,0.132,0.0955,97.05,audio_features,spotify:track:24emu3sabKISjRkrys28jq,https://api.spotify.com/v1/tracks/24emu3sabKISjRkrys28jq,https://api.spotify.com/v1/audio-analysis/24emu3sabKISjRkrys28jq,202396,4,2023-05-26
113,Maroon,Midnights (The Til Dawn Edition),0.655,0.384,7,-8.29,1,0.0349,0.0634,1.45e-06,0.0973,0.0384,108.058,audio_features,spotify:track:6qxvy9Pe4RJIq5JBVbbwbS,https://api.spotify.com/v1/tracks/6qxvy9Pe4RJIq5JBVbbwbS,https://api.spotify.com/v1/audio-analysis/6qxvy9Pe4RJIq5JBVbbwbS,218271,4,2023-05-26
114,Anti-Hero,Midnights (The Til Dawn Edition),0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,audio_features,spotify:track:5qIHFdkW6phMsTZlN2g8Lc,https://api.spotify.com/v1/tracks/5qIHFdkW6phMsTZlN2g8Lc,https://api.spotify.com/v1/audio-analysis/5qIHFdkW6phMsTZlN2g8Lc,200690,4,2023-05-26
115,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),0.663,0.321,9,-13.527,1,0.0409,0.701,0.000598,0.107,0.153,110.021,audio_features,spotify:track:7GA86Uo2jYbj8vIXe2nyWd,https://api.spotify.com/v1/tracks/7GA86Uo2jYbj8vIXe2nyWd,https://api.spotify.com/v1/audio-analysis/7GA86Uo2jYbj8vIXe2nyWd,256124,4,2023-05-26
116,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),0.696,0.39,2,-10.331,1,0.0616,0.447,1.55e-05,0.125,0.395,120.032,audio_features,spotify:track:6PQOU00xWNrGwCZzboriXy,https://api.spotify.com/v1/tracks/6PQOU00xWNrGwCZzboriXy,https://api.spotify.com/v1/audio-analysis/6PQOU00xWNrGwCZzboriXy,194207,4,2023-05-26
117,Midnight Rain,Midnights (The Til Dawn Edition),0.604,0.375,0,-11.637,1,0.0633,0.71,5.87e-05,0.116,0.203,137.651,audio_features,spotify:track:4eKMqf9ZMSclDX7V9Ptg7x,https://api.spotify.com/v1/tracks/4eKMqf9ZMSclDX7V9Ptg7x,https://api.spotify.com/v1/audio-analysis/4eKMqf9ZMSclDX7V9Ptg7x,174783,4,2023-05-26
118,Question...?,Midnights (The Til Dawn Edition),0.654,0.51,7,-8.767,1,0.242,0.206,0.0,0.249,0.105,108.874,audio_features,spotify:track:7oomkQSYf1ia2VnVEWfFIU,https://api.spotify.com/v1/tracks/7oomkQSYf1ia2VnVEWfFIU,https://api.spotify.com/v1/audio-analysis/7oomkQSYf1ia2VnVEWfFIU,210557,4,2023-05-26
119,Vigilante Shit,Midnights (The Til Dawn Edition),0.872,0.267,4,-10.764,0,0.387,0.166,2.18e-05,0.123,0.168,79.964,audio_features,spotify:track:0GKDhq6ZbmSbRHd3eyGlB7,https://api.spotify.com/v1/tracks/0GKDhq6ZbmSbRHd3eyGlB7,https://api.spotify.com/v1/audio-analysis/0GKDhq6ZbmSbRHd3eyGlB7,164801,4,2023-05-26
120,Bejeweled,Midnights (The Til Dawn Edition),0.687,0.551,7,-9.202,1,0.0787,0.0593,0.000143,0.09,0.443,163.994,audio_features,spotify:track:0VpF6RLdCfPIeYRwMu4tZK,https://api.spotify.com/v1/tracks/0VpF6RLdCfPIeYRwMu4tZK,https://api.spotify.com/v1/audio-analysis/0VpF6RLdCfPIeYRwMu4tZK,194166,4,2023-05-26
121,Labyrinth,Midnights (The Til Dawn Edition),0.48,0.295,0,-15.512,1,0.0384,0.797,0.333,0.12,0.132,110.018,audio_features,spotify:track:4bBDkw2KBMX0tcgAaXC83Q,https://api.spotify.com/v1/tracks/4bBDkw2KBMX0tcgAaXC83Q,https://api.spotify.com/v1/audio-analysis/4bBDkw2KBMX0tcgAaXC83Q,247962,4,2023-05-26
122,Karma,Midnights (The Til Dawn Edition),0.64,0.619,8,-7.108,1,0.065,0.062,0.0,0.475,0.121,90.008,audio_features,spotify:track:45R112Jz5hQeKgITXgSXzs,https://api.spotify.com/v1/tracks/45R112Jz5hQeKgITXgSXzs,https://api.spotify.com/v1/audio-analysis/45R112Jz5hQeKgITXgSXzs,204852,4,2023-05-26
123,Sweet Nothing,Midnights (The Til Dawn Edition),0.336,0.161,0,-14.973,1,0.0456,0.968,0.00011,0.115,0.407,176.48,audio_features,spotify:track:2L09RYwH5Pjzca6PmbUAw3,https://api.spotify.com/v1/tracks/2L09RYwH5Pjzca6PmbUAw3,https://api.spotify.com/v1/audio-analysis/2L09RYwH5Pjzca6PmbUAw3,188497,4,2023-05-26
124,Mastermind,Midnights (The Til Dawn Edition),0.66,0.343,4,-14.132,1,0.14,0.565,0.00134,0.0922,0.137,125.96,audio_features,spotify:track:1QQii3pa5m8MEda0nbkjfw,https://api.spotify.com/v1/tracks/1QQii3pa5m8MEda0nbkjfw,https://api.spotify.com/v1/audio-analysis/1QQii3pa5m8MEda0nbkjfw,191039,4,2023-05-26
125,The Great War,Midnights (The Til Dawn Edition),0.57,0.747,5,-8.93,1,0.0342,0.199,2.32e-05,0.0854,0.574,96.016,audio_features,spotify:track:2VuqMjgoKaOHNM8HpxtXKx,https://api.spotify.com/v1/tracks/2VuqMjgoKaOHNM8HpxtXKx,https://api.spotify.com/v1/audio-analysis/2VuqMjgoKaOHNM8HpxtXKx,240356,4,2023-05-26
126,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),0.42,0.22,6,-12.584,1,0.0472,0.841,0.00131,0.114,0.0705,165.564,audio_features,spotify:track:71CBDRKmF2VeRKYMG1DFBh,https://api.spotify.com/v1/tracks/71CBDRKmF2VeRKYMG1DFBh,https://api.spotify.com/v1/audio-analysis/71CBDRKmF2VeRKYMG1DFBh,218503,4,2023-05-26
127,Paris,Midnights (The Til Dawn Edition),0.703,0.518,7,-10.501,1,0.085,0.103,2.89e-05,0.148,0.347,110.94,audio_features,spotify:track:5tWxKWq1DSP1s9WQ5PWuqu,https://api.spotify.com/v1/tracks/5tWxKWq1DSP1s9WQ5PWuqu,https://api.spotify.com/v1/audio-analysis/5tWxKWq1DSP1s9WQ5PWuqu,196259,4,2023-05-26
128,High Infidelity,Midnights (The Til Dawn Edition),0.571,0.547,10,-10.141,1,0.101,0.704,0.0,0.0877,0.768,175.933,audio_features,spotify:track:1SztNGCwEHJEVFx90E5g7D,https://api.spotify.com/v1/tracks/1SztNGCwEHJEVFx90E5g7D,https://api.spotify.com/v1/audio-analysis/1SztNGCwEHJEVFx90E5g7D,231475,4,2023-05-26
129,Glitch,Midnights (The Til Dawn Edition),0.677,0.47,11,-9.65,0,0.259,0.314,0.0,0.11,0.347,140.881,audio_features,spotify:track:7C0w28EsX0Um2FrZs9gso2,https://api.spotify.com/v1/tracks/7C0w28EsX0Um2FrZs9gso2,https://api.spotify.com/v1/audio-analysis/7C0w28EsX0Um2FrZs9gso2,148781,4,2023-05-26
