,name,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,date
24,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.763,0.274,1,-11.429,0,0.0738,0.69,0.0,0.164,0.385,90.796,audio_features,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,https://api.spotify.com/v1/tracks/1Zai5UJ2di3qEuR2HeT2s8,https://api.spotify.com/v1/audio-analysis/1Zai5UJ2di3qEuR2HeT2s8,131907,4,2024-04-19
25,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.421,0.525,10,-10.359,1,0.0472,0.825,2.67e-06,0.308,0.535,167.927,audio_features,spotify:track:18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/tracks/18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/audio-analysis/18WFFUIsewmA8g31KAeo3e,249807,4,2024-04-19
26,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.587,0.587,10,-9.879,1,0.0595,0.806,0.0,0.137,0.514,139.963,audio_features,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,https://api.spotify.com/v1/tracks/0g4fMVo4JjwnIpTfFfLdxS,https://api.spotify.com/v1/audio-analysis/0g4fMVo4JjwnIpTfFfLdxS,240206,4,2024-04-19
27,Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.342,0.376,0,-8.212,1,0.0372,0.805,0.0,0.0593,0.29,176.859,audio_features,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,https://api.spotify.com/v1/tracks/3zMDGj4D8ogaYgAIZPeU7S,https://api.spotify.com/v1/audio-analysis/3zMDGj4D8ogaYgAIZPeU7S,283958,3,2024-04-19
28,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.455,0.586,0,-7.978,1,0.0492,0.638,0.0,0.131,0.481,183.694,audio_features,spotify:track:2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/tracks/2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/audio-analysis/2913xXOVAIDAqxzV2g4VcU,238242,4,2024-04-19
29,Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.476,0.386,0,-10.601,1,0.03,0.791,0.000423,0.1,0.158,138.265,audio_features,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,https://api.spotify.com/v1/tracks/2CnjDMdpRjlWv04Xk3s6MW,https://api.spotify.com/v1/audio-analysis/2CnjDMdpRjlWv04Xk3s6MW,240893,4,2024-04-19
30,The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.509,0.256,0,-11.665,1,0.0306,0.901,2.43e-06,0.103,0.436,94.184,audio_features,spotify:track:1DTRUYVd8rYpla9hhVVwjo,https://api.spotify.com/v1/tracks/1DTRUYVd8rYpla9hhVVwjo,https://api.spotify.com/v1/audio-analysis/1DTRUYVd8rYpla9hhVVwjo,224744,4,2024-04-19
31,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,228965,4,2024-04-18
32,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,0.604,0.428,0,-8.441,1,0.0255,0.0483,0.0,0.126,0.292,110.259,audio_features,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,https://api.spotify.com/v1/tracks/3NMrVbIVWT3fPXBj0rNDKG,https://api.spotify.com/v1/audio-analysis/3NMrVbIVWT3fPXBj0rNDKG,293048,4,2024-04-18
33,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,0.596,0.563,0,-7.362,1,0.0269,0.137,0.0,0.302,0.481,97.073,audio_features,spotify:track:2XXwLdtuAcE0HSCu61ijAb,https://api.spotify.com/v1/tracks/2XXwLdtuAcE0HSCu61ijAb,https://api.spotify.com/v1/audio-analysis/2XXwLdtuAcE0HSCu61ijAb,203801,4,2024-04-18
34,Down Bad,THE TORTURED POETS DEPARTMENT,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,audio_features,spotify:track:2F3N9tdombb64aW6VtZOdo,https://api.spotify.com/v1/tracks/2F3N9tdombb64aW6VtZOdo,https://api.spotify.com/v1/audio-analysis/2F3N9tdombb64aW6VtZOdo,261228,4,2024-04-18
35,"So Long, London",THE TORTURED POETS DEPARTMENT,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,audio_features,spotify:track:3Vevii7qKqrmW8CcyzBHDl,https://api.spotify.com/v1/tracks/3Vevii7qKqrmW8CcyzBHDl,https://api.spotify.com/v1/audio-analysis/3Vevii7qKqrmW8CcyzBHDl,262975,4,2024-04-18
36,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,audio_features,spotify:track:5og4Qzt92jJzVDkOtSEilb,https://api.spotify.com/v1/tracks/5og4Qzt92jJzVDkOtSEilb,https://api.spotify.com/v1/audio-analysis/5og4Qzt92jJzVDkOtSEilb,340428,4,2024-04-18
37,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,0.33,0.483,9,-9.394,1,0.0399,0.624,0.0,0.111,0.34,87.115,audio_features,spotify:track:3fO566xJgwxIa3qGCGBvIC,https://api.spotify.com/v1/tracks/3fO566xJgwxIa3qGCGBvIC,https://api.spotify.com/v1/audio-analysis/3fO566xJgwxIa3qGCGBvIC,210789,4,2024-04-18
38,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,0.533,0.573,0,-7.123,1,0.138,0.178,0.0,0.309,0.398,150.088,audio_features,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,https://api.spotify.com/v1/tracks/3ZVFcD8Wlw9T9klGqmJf9F,https://api.spotify.com/v1/audio-analysis/3ZVFcD8Wlw9T9klGqmJf9F,215463,4,2024-04-18
39,Guilty as Sin?,THE TORTURED POETS DEPARTMENT,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,audio_features,spotify:track:0W0iAC1VGlB82PI6elxFYf,https://api.spotify.com/v1/tracks/0W0iAC1VGlB82PI6elxFYf,https://api.spotify.com/v1/audio-analysis/0W0iAC1VGlB82PI6elxFYf,254366,3,2024-04-18
