,Unnamed: 0,name,id_x,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id_y,uri,track_href,analysis_url,duration_ms,time_signature
12,12,I Can Do It With a Broken Heart,2fPvQfGQEZOKtJ9qXeL4x8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,https://api.spotify.com/v1/tracks/2fPvQfGQEZOKtJ9qXeL4x8,https://api.spotify.com/v1/audio-analysis/2fPvQfGQEZOKtJ9qXeL4x8,218005,4
13,13,The Smallest Man Who Ever Lived,1xtw1krCR6Dw2KwkXw5z63,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.426,0.41,10,-9.083,1,0.0581,0.52,0.0,0.338,0.263,142.377,audio_features,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63,https://api.spotify.com/v1/tracks/1xtw1krCR6Dw2KwkXw5z63,https://api.spotify.com/v1/audio-analysis/1xtw1krCR6Dw2KwkXw5z63,245542,1
14,14,The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.64,0.421,0,-8.802,1,0.0273,0.422,0.0,0.103,0.353,100.056,audio_features,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,https://api.spotify.com/v1/tracks/1tuNqJOtRQVHvONR8Lg3MZ,https://api.spotify.com/v1/audio-analysis/1tuNqJOtRQVHvONR8Lg3MZ,196900,4
15,15,Clara Bow,4d9PtIEVij9jW5OaLinH66,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.686,0.318,7,-11.046,1,0.0263,0.636,0.00144,0.106,0.214,104.088,audio_features,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66,https://api.spotify.com/v1/tracks/4d9PtIEVij9jW5OaLinH66,https://api.spotify.com/v1/audio-analysis/4d9PtIEVij9jW5OaLinH66,216662,4
16,16,The Black Dog,62E2nR0od0M5HYxuYLaDz7,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.527,0.27,0,-10.855,1,0.038,0.707,0.0,0.102,0.23,154.042,audio_features,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7,https://api.spotify.com/v1/tracks/62E2nR0od0M5HYxuYLaDz7,https://api.spotify.com/v1/audio-analysis/62E2nR0od0M5HYxuYLaDz7,238857,4
17,17,imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.784,0.391,9,-9.471,1,0.0633,0.608,0.0,0.252,0.15,110.007,audio_features,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP,https://api.spotify.com/v1/tracks/1kcwpPDQnqEqmezzXdJTCP,https://api.spotify.com/v1/audio-analysis/1kcwpPDQnqEqmezzXdJTCP,222072,4
18,18,The Albatross,4EF6IyONolQy0bIQXm2EmX,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.352,0.479,2,-8.942,1,0.0583,0.655,0.0,0.0935,0.292,172.013,audio_features,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX,https://api.spotify.com/v1/tracks/4EF6IyONolQy0bIQXm2EmX,https://api.spotify.com/v1/audio-analysis/4EF6IyONolQy0bIQXm2EmX,183879,4
19,19,Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.516,0.451,0,-8.552,1,0.0446,0.78,0.0,0.105,0.218,70.266,audio_features,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,https://api.spotify.com/v1/tracks/1rmEsOezwf2lmIZTMAO5Ag,https://api.spotify.com/v1/audio-analysis/1rmEsOezwf2lmIZTMAO5Ag,213281,4
20,20,How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.492,0.379,0,-8.859,1,0.0257,0.785,0.00093,0.108,0.273,83.993,audio_features,5Bedn0svl0ZD7RGmJkmKKw,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,https://api.spotify.com/v1/tracks/5Bedn0svl0ZD7RGmJkmKKw,https://api.spotify.com/v1/audio-analysis/5Bedn0svl0ZD7RGmJkmKKw,238707,3
21,21,So High School,7Mts0OfPorF4iwOomvfqn1,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.366,0.866,7,-4.514,1,0.0466,0.0274,3.07e-06,0.106,0.293,176.07,audio_features,7Mts0OfPorF4iwOomvfqn1,spotify:track:7Mts0OfPorF4iwOomvfqn1,https://api.spotify.com/v1/tracks/7Mts0OfPorF4iwOomvfqn1,https://api.spotify.com/v1/audio-analysis/7Mts0OfPorF4iwOomvfqn1,228800,4
22,22,I Hate It Here,3hlGuz3loYoLfI3bpwieWq,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.485,0.562,2,-7.197,1,0.0346,0.717,0.0,0.357,0.297,105.953,audio_features,3hlGuz3loYoLfI3bpwieWq,spotify:track:3hlGuz3loYoLfI3bpwieWq,https://api.spotify.com/v1/tracks/3hlGuz3loYoLfI3bpwieWq,https://api.spotify.com/v1/audio-analysis/3hlGuz3loYoLfI3bpwieWq,243876,4
23,23,thanK you aIMee,7ogK4lJDVDMU6A6vYR5rvD,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.609,0.541,7,-8.013,1,0.0346,0.609,0.0,0.122,0.252,95.997,audio_features,7ogK4lJDVDMU6A6vYR5rvD,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,https://api.spotify.com/v1/tracks/7ogK4lJDVDMU6A6vYR5rvD,https://api.spotify.com/v1/audio-analysis/7ogK4lJDVDMU6A6vYR5rvD,263817,4
24,24,I Look in People's Windows,1Zai5UJ2di3qEuR2HeT2s8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.763,0.274,1,-11.429,0,0.0738,0.69,0.0,0.164,0.385,90.796,audio_features,1Zai5UJ2di3qEuR2HeT2s8,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,https://api.spotify.com/v1/tracks/1Zai5UJ2di3qEuR2HeT2s8,https://api.spotify.com/v1/audio-analysis/1Zai5UJ2di3qEuR2HeT2s8,131907,4
25,25,The Prophecy,18WFFUIsewmA8g31KAeo3e,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.421,0.525,10,-10.359,1,0.0472,0.825,2.67e-06,0.308,0.535,167.927,audio_features,18WFFUIsewmA8g31KAeo3e,spotify:track:18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/tracks/18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/audio-analysis/18WFFUIsewmA8g31KAeo3e,249807,4
26,26,Cassandra,0g4fMVo4JjwnIpTfFfLdxS,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.587,0.587,10,-9.879,1,0.0595,0.806,0.0,0.137,0.514,139.963,audio_features,0g4fMVo4JjwnIpTfFfLdxS,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,https://api.spotify.com/v1/tracks/0g4fMVo4JjwnIpTfFfLdxS,https://api.spotify.com/v1/audio-analysis/0g4fMVo4JjwnIpTfFfLdxS,240206,4
27,27,Peter,3zMDGj4D8ogaYgAIZPeU7S,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.342,0.376,0,-8.212,1,0.0372,0.805,0.0,0.0593,0.29,176.859,audio_features,3zMDGj4D8ogaYgAIZPeU7S,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,https://api.spotify.com/v1/tracks/3zMDGj4D8ogaYgAIZPeU7S,https://api.spotify.com/v1/audio-analysis/3zMDGj4D8ogaYgAIZPeU7S,283958,3
28,28,The Bolter,2913xXOVAIDAqxzV2g4VcU,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.455,0.586,0,-7.978,1,0.0492,0.638,0.0,0.131,0.481,183.694,audio_features,2913xXOVAIDAqxzV2g4VcU,spotify:track:2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/tracks/2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/audio-analysis/2913xXOVAIDAqxzV2g4VcU,238242,4
29,29,Robin,2CnjDMdpRjlWv04Xk3s6MW,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.476,0.386,0,-10.601,1,0.03,0.791,0.000423,0.1,0.158,138.265,audio_features,2CnjDMdpRjlWv04Xk3s6MW,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,https://api.spotify.com/v1/tracks/2CnjDMdpRjlWv04Xk3s6MW,https://api.spotify.com/v1/audio-analysis/2CnjDMdpRjlWv04Xk3s6MW,240893,4
30,30,The Manuscript,1DTRUYVd8rYpla9hhVVwjo,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.509,0.256,0,-11.665,1,0.0306,0.901,2.43e-06,0.103,0.436,94.184,audio_features,1DTRUYVd8rYpla9hhVVwjo,spotify:track:1DTRUYVd8rYpla9hhVVwjo,https://api.spotify.com/v1/tracks/1DTRUYVd8rYpla9hhVVwjo,https://api.spotify.com/v1/audio-analysis/1DTRUYVd8rYpla9hhVVwjo,224744,4
31,31,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,THE TORTURED POETS DEPARTMENT,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,228965,4
32,32,The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,THE TORTURED POETS DEPARTMENT,0.604,0.428,0,-8.441,1,0.0255,0.0483,0.0,0.126,0.292,110.259,audio_features,3NMrVbIVWT3fPXBj0rNDKG,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,https://api.spotify.com/v1/tracks/3NMrVbIVWT3fPXBj0rNDKG,https://api.spotify.com/v1/audio-analysis/3NMrVbIVWT3fPXBj0rNDKG,293048,4
33,33,My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,THE TORTURED POETS DEPARTMENT,0.596,0.563,0,-7.362,1,0.0269,0.137,0.0,0.302,0.481,97.073,audio_features,2XXwLdtuAcE0HSCu61ijAb,spotify:track:2XXwLdtuAcE0HSCu61ijAb,https://api.spotify.com/v1/tracks/2XXwLdtuAcE0HSCu61ijAb,https://api.spotify.com/v1/audio-analysis/2XXwLdtuAcE0HSCu61ijAb,203801,4
34,34,Down Bad,2F3N9tdombb64aW6VtZOdo,THE TORTURED POETS DEPARTMENT,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,audio_features,2F3N9tdombb64aW6VtZOdo,spotify:track:2F3N9tdombb64aW6VtZOdo,https://api.spotify.com/v1/tracks/2F3N9tdombb64aW6VtZOdo,https://api.spotify.com/v1/audio-analysis/2F3N9tdombb64aW6VtZOdo,261228,4
35,35,"So Long, London",3Vevii7qKqrmW8CcyzBHDl,THE TORTURED POETS DEPARTMENT,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,audio_features,3Vevii7qKqrmW8CcyzBHDl,spotify:track:3Vevii7qKqrmW8CcyzBHDl,https://api.spotify.com/v1/tracks/3Vevii7qKqrmW8CcyzBHDl,https://api.spotify.com/v1/audio-analysis/3Vevii7qKqrmW8CcyzBHDl,262975,4
36,36,But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,THE TORTURED POETS DEPARTMENT,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,audio_features,5og4Qzt92jJzVDkOtSEilb,spotify:track:5og4Qzt92jJzVDkOtSEilb,https://api.spotify.com/v1/tracks/5og4Qzt92jJzVDkOtSEilb,https://api.spotify.com/v1/audio-analysis/5og4Qzt92jJzVDkOtSEilb,340428,4
37,37,Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,THE TORTURED POETS DEPARTMENT,0.33,0.483,9,-9.394,1,0.0399,0.624,0.0,0.111,0.34,87.115,audio_features,3fO566xJgwxIa3qGCGBvIC,spotify:track:3fO566xJgwxIa3qGCGBvIC,https://api.spotify.com/v1/tracks/3fO566xJgwxIa3qGCGBvIC,https://api.spotify.com/v1/audio-analysis/3fO566xJgwxIa3qGCGBvIC,210789,4
38,38,Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,THE TORTURED POETS DEPARTMENT,0.533,0.573,0,-7.123,1,0.138,0.178,0.0,0.309,0.398,150.088,audio_features,3ZVFcD8Wlw9T9klGqmJf9F,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,https://api.spotify.com/v1/tracks/3ZVFcD8Wlw9T9klGqmJf9F,https://api.spotify.com/v1/audio-analysis/3ZVFcD8Wlw9T9klGqmJf9F,215463,4
39,39,Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,THE TORTURED POETS DEPARTMENT,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,audio_features,0W0iAC1VGlB82PI6elxFYf,spotify:track:0W0iAC1VGlB82PI6elxFYf,https://api.spotify.com/v1/tracks/0W0iAC1VGlB82PI6elxFYf,https://api.spotify.com/v1/audio-analysis/0W0iAC1VGlB82PI6elxFYf,254366,3
40,40,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO,THE TORTURED POETS DEPARTMENT,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,audio_features,36t6frENUtCYKuZus6aYDO,spotify:track:36t6frENUtCYKuZus6aYDO,https://api.spotify.com/v1/tracks/36t6frENUtCYKuZus6aYDO,https://api.spotify.com/v1/audio-analysis/36t6frENUtCYKuZus6aYDO,334085,4
